City,Date,AQI_Bucket
Jaipur,2018-09-09,Satisfactory
Thiruvananthapuram,2020-05-06,Satisfactory
Bengaluru,2018-03-17,Satisfactory
Delhi,2018-01-10,Very Poor
Gurugram,2016-04-16,Poor
Amritsar,2019-04-01,Satisfactory
Chennai,2016-09-16,Poor
Chandigarh,2019-11-13,Poor
Mumbai,2019-04-15,Moderate
Mumbai,2019-03-19,Moderate
Mumbai,2018-08-26,Satisfactory
Amritsar,2020-01-30,Satisfactory
Brajrajnagar,2019-10-23,Moderate
Bengaluru,2017-06-16,Satisfactory
Bengaluru,2015-08-11,Moderate
Amritsar,2018-03-08,Moderate
Ahmedabad,2019-05-26,Severe
Chennai,2019-04-12,Satisfactory
Chennai,2015-06-04,Poor
Gurugram,2019-09-26,Satisfactory
Brajrajnagar,2019-07-13,Moderate
Gurugram,2020-03-21,Moderate
Delhi,2018-11-21,Very Poor
Chennai,2015-05-29,Poor
Mumbai,2019-07-18,Satisfactory
Gurugram,2018-01-09,Very Poor
Gurugram,2018-04-23,Moderate
Patna,2016-09-24,Moderate
Visakhapatnam,2016-11-05,Satisfactory
Hyderabad,2019-09-08,Good
Shillong,2019-09-12,Good
Mumbai,2020-02-19,Poor
Ernakulam,2020-04-13,Satisfactory
Talcher,2019-08-28,Moderate
Hyderabad,2015-06-08,Moderate
Guwahati,2019-04-16,Satisfactory
Ernakulam,2020-02-19,Moderate
Jorapokhar,2019-11-02,Moderate
Lucknow,2020-02-12,Poor
Brajrajnagar,2019-03-11,Moderate
Kochi,2020-04-05,Satisfactory
Amritsar,2017-05-29,Good
Hyderabad,2019-12-31,Moderate
Patna,2016-02-27,Poor
Kolkata,2019-06-25,Satisfactory
Amritsar,2017-04-10,Satisfactory
Visakhapatnam,2020-04-11,Satisfactory
Delhi,2016-02-09,Very Poor
Delhi,2016-10-10,Very Poor
Delhi,2019-12-01,Poor
Jaipur,2019-12-04,Moderate
Talcher,2018-02-22,Severe
Delhi,2019-11-16,Severe
Gurugram,2020-01-15,Moderate
Delhi,2019-11-21,Very Poor
Hyderabad,2020-02-26,Moderate
Amritsar,2017-04-18,Moderate
Amaravati,2018-11-27,Moderate
Brajrajnagar,2019-10-26,Moderate
Delhi,2018-08-10,Moderate
Jaipur,2019-11-15,Poor
Chennai,2017-11-09,Satisfactory
Delhi,2018-05-28,Poor
Patna,2020-06-29,Satisfactory
Lucknow,2018-11-08,Severe
Hyderabad,2018-01-28,Moderate
Coimbatore,2020-03-08,Satisfactory
Visakhapatnam,2017-02-27,Moderate
Bengaluru,2017-07-18,Satisfactory
Hyderabad,2017-09-27,Moderate
Ahmedabad,2018-09-15,Severe
Chennai,2018-09-08,Moderate
Talcher,2020-03-04,Satisfactory
Visakhapatnam,2018-07-04,Satisfactory
Jorapokhar,2019-07-14,Satisfactory
Gurugram,2016-11-19,Poor
Jaipur,2019-01-28,Moderate
Amaravati,2018-09-25,Satisfactory
Amritsar,2018-07-18,Satisfactory
Hyderabad,2019-08-27,Satisfactory
Amritsar,2019-04-26,Satisfactory
Delhi,2016-06-04,Very Poor
Visakhapatnam,2019-07-03,Moderate
Ahmedabad,2018-07-26,Severe
Aizawl,2020-04-01,Satisfactory
Gurugram,2020-02-22,Satisfactory
Lucknow,2018-07-30,Satisfactory
Jorapokhar,2018-07-31,Moderate
Hyderabad,2016-07-02,Satisfactory
Hyderabad,2018-07-07,Satisfactory
Lucknow,2019-09-28,Satisfactory
Delhi,2015-12-29,Very Poor
Ahmedabad,2018-06-06,Very Poor
Mumbai,2019-10-18,Moderate
Jaipur,2019-04-29,Moderate
Visakhapatnam,2019-09-30,Satisfactory
Bengaluru,2018-03-04,Satisfactory
Coimbatore,2019-06-20,Satisfactory
Thiruvananthapuram,2018-12-22,Moderate
Jaipur,2019-07-27,Satisfactory
Mumbai,2020-01-19,Poor
Gurugram,2018-06-16,Severe
Gurugram,2018-09-24,Satisfactory
Amritsar,2018-07-03,Satisfactory
Thiruvananthapuram,2017-08-10,Satisfactory
Jorapokhar,2019-03-22,Moderate
Amaravati,2018-05-29,Moderate
Delhi,2015-04-29,Poor
Lucknow,2017-09-05,Satisfactory
Jaipur,2020-05-20,Moderate
Patna,2020-05-28,Moderate
Lucknow,2019-12-16,Moderate
Hyderabad,2015-04-30,Moderate
Visakhapatnam,2016-08-15,Satisfactory
Patna,2018-10-09,Poor
Bengaluru,2017-01-08,Satisfactory
Hyderabad,2017-11-04,Moderate
Jaipur,2019-11-11,Moderate
Gurugram,2020-05-11,Moderate
Talcher,2019-10-12,Satisfactory
Hyderabad,2017-08-10,Satisfactory
Kolkata,2018-08-28,Satisfactory
Lucknow,2020-05-11,Moderate
Hyderabad,2020-06-13,Good
Thiruvananthapuram,2020-03-15,Satisfactory
Amritsar,2017-10-30,Very Poor
Delhi,2018-06-06,Moderate
Gurugram,2016-11-02,Severe
Chennai,2016-05-21,Satisfactory
Visakhapatnam,2019-03-17,Satisfactory
Patna,2017-11-18,Very Poor
Bengaluru,2019-10-22,Satisfactory
Mumbai,2020-06-04,Good
Lucknow,2015-09-01,Satisfactory
Lucknow,2020-02-13,Poor
Jaipur,2018-08-01,Moderate
Thiruvananthapuram,2018-10-05,Satisfactory
Patna,2019-03-31,Moderate
Thiruvananthapuram,2017-09-14,Satisfactory
Hyderabad,2019-01-21,Moderate
Hyderabad,2018-10-20,Moderate
Brajrajnagar,2019-06-20,Satisfactory
Lucknow,2020-05-05,Satisfactory
Bengaluru,2018-02-15,Satisfactory
Chennai,2019-11-20,Good
Lucknow,2017-12-12,Very Poor
Hyderabad,2018-03-01,Moderate
Lucknow,2017-10-11,Moderate
Kolkata,2019-09-22,Satisfactory
Chennai,2019-06-12,Moderate
Gurugram,2017-10-13,Moderate
Ahmedabad,2019-09-05,Severe
Lucknow,2019-11-08,Very Poor
Lucknow,2018-03-24,Moderate
Mumbai,2020-01-04,Poor
Delhi,2016-06-19,Poor
Mumbai,2018-11-09,Moderate
Lucknow,2019-05-15,Moderate
Ahmedabad,2018-04-17,Severe
Bhopal,2020-02-21,Moderate
Chennai,2018-10-03,Satisfactory
Delhi,2016-04-27,Very Poor
Hyderabad,2018-07-16,Satisfactory
Hyderabad,2017-08-19,Satisfactory
Patna,2019-10-24,Very Poor
Gurugram,2018-02-19,Very Poor
Lucknow,2016-07-16,Moderate
Kolkata,2019-12-16,Moderate
Delhi,2016-01-02,Severe
Bengaluru,2017-08-11,Satisfactory
Hyderabad,2019-05-23,Moderate
Chennai,2019-03-01,Moderate
Brajrajnagar,2020-03-28,Moderate
Visakhapatnam,2019-10-11,Satisfactory
Visakhapatnam,2019-05-09,Moderate
Brajrajnagar,2019-01-16,Poor
Talcher,2018-11-08,Moderate
Thiruvananthapuram,2020-01-14,Satisfactory
Thiruvananthapuram,2018-10-23,Satisfactory
Delhi,2015-03-09,Moderate
Hyderabad,2019-11-16,Moderate
Patna,2018-08-17,Satisfactory
Amritsar,2019-10-29,Very Poor
Guwahati,2020-01-24,Very Poor
Bengaluru,2019-05-30,Satisfactory
Amritsar,2019-10-19,Satisfactory
Guwahati,2020-04-11,Moderate
Ahmedabad,2019-08-04,Severe
Thiruvananthapuram,2018-03-16,Satisfactory
Gurugram,2016-06-05,Poor
Visakhapatnam,2016-12-15,Moderate
Chennai,2016-08-13,Moderate
Amaravati,2018-04-04,Satisfactory
Ahmedabad,2018-03-14,Severe
Bengaluru,2017-04-26,Satisfactory
